age,male,female
0,8589759,8123437
1,8589759,8123437
2,8589759,8123437
3,8589759,8123437
4,8589759,8123437
5,7334579,6836458
6,7334579,6836458
7,7334579,6836458
8,7334579,6836458
9,7334579,6836458
10,6513063,6039431
11,6513063,6039431
12,6513063,6039431
13,6513063,6039431
14,6513063,6039431
15,5458623,5039211
16,5458623,5039211
17,5458623,5039211
18,5458623,5039211
19,5458623,5039211
20,4159131,3944265
21,4159131,3944265
22,4159131,3944265
23,4159131,3944265
24,4159131,3944265
25,3693661,3522022
26,3693661,3522022
27,3693661,3522022
28,3693661,3522022
29,3693661,3522022
30,3413119,3259720
31,3413119,3259720
32,3413119,3259720
33,3413119,3259720
34,3413119,3259720
35,3071105,2842756
36,3071105,2842756
37,3071105,2842756
38,3071105,2842756
39,3071105,2842756
40,2716335,2438762
41,2716335,2438762
42,2716335,2438762
43,2716335,2438762
44,2716335,2438762
45,2335598,2112383
46,2335598,2112383
47,2335598,2112383
48,2335598,2112383
49,2335598,2112383
50,1959862,1813849
51,1959862,1813849
52,1959862,1813849
53,1959862,1813849
54,1959862,1813849
55,1603686,1524675
56,1603686,1524675
57,1603686,1524675
58,1603686,1524675
59,1603686,1524675
60,1241440,1183278
61,1241440,1183278
62,1241440,1183278
63,1241440,1183278
64,1241440,1183278
65,878519,844231
66,878519,844231
67,878519,844231
68,878519,844231
69,878519,844231
70,560186,561638
71,560186,561638
72,560186,561638
73,560186,561638
74,560186,561638
75,284381,292741
76,284381,292741
77,284381,292741
78,284381,292741
79,284381,292741
80,126881,139995
81,126881,139995
82,126881,139995
83,126881,139995
84,126881,139995
85,32061,34609
86,32061,34609
87,32061,34609
88,32061,34609
89,32061,34609
90,7510,8614
91,7510,8614
92,7510,8614
93,7510,8614
94,7510,8614
95,733,973
96,733,973
97,733,973
98,733,973
99,733,973
100,187,314
