age,male,female
0,429155,410784
1,429155,410784
2,429155,410784
3,429155,410784
4,429155,410784
5,431408,414770
6,431408,414770
7,431408,414770
8,431408,414770
9,431408,414770
10,422686,407520
11,422686,407520
12,422686,407520
13,422686,407520
14,422686,407520
15,424715,412590
16,424715,412590
17,424715,412590
18,424715,412590
19,424715,412590
20,403451,383894
21,403451,383894
22,403451,383894
23,403451,383894
24,403451,383894
25,300719,280590
26,300719,280590
27,300719,280590
28,300719,280590
29,300719,280590
30,319175,301918
31,319175,301918
32,319175,301918
33,319175,301918
34,319175,301918
35,343492,329674
36,343492,329674
37,343492,329674
38,343492,329674
39,343492,329674
40,336253,330851
41,336253,330851
42,336253,330851
43,336253,330851
44,336253,330851
45,316766,323323
46,316766,323323
47,316766,323323
48,316766,323323
49,316766,323323
50,182733,193117
51,182733,193117
52,182733,193117
53,182733,193117
54,182733,193117
55,267803,292578
56,267803,292578
57,267803,292578
58,267803,292578
59,267803,292578
60,244959,282325
61,244959,282325
62,244959,282325
63,244959,282325
64,244959,282325
65,205850,260847
66,205850,260847
67,205850,260847
68,205850,260847
69,205850,260847
70,135414,214975
71,135414,214975
72,135414,214975
73,135414,214975
74,135414,214975
75,80021,158807
76,80021,158807
77,80021,158807
78,80021,158807
79,80021,158807
80,44870,100583
81,44870,100583
82,44870,100583
83,44870,100583
84,44870,100583
85,17355,45190
86,17355,45190
87,17355,45190
88,17355,45190
89,17355,45190
90,4271,12963
91,4271,12963
92,4271,12963
93,4271,12963
94,4271,12963
95,511,1981
96,511,1981
97,511,1981
98,511,1981
99,511,1981
100,140,703
