age,male,female
0,9792217,9242113
1,9792217,9242113
2,9792217,9242113
3,9792217,9242113
4,9792217,9242113
5,8339901,7805755
6,8339901,7805755
7,8339901,7805755
8,8339901,7805755
9,8339901,7805755
10,7530856,7004600
11,7530856,7004600
12,7530856,7004600
13,7530856,7004600
14,7530856,7004600
15,6713544,6197863
16,6713544,6197863
17,6713544,6197863
18,6713544,6197863
19,6713544,6197863
20,5770320,5296052
21,5770320,5296052
22,5770320,5296052
23,5770320,5296052
24,5770320,5296052
25,4409640,4110250
26,4409640,4110250
27,4409640,4110250
28,4409640,4110250
29,4409640,4110250
30,3662451,3467966
31,3662451,3467966
32,3662451,3467966
33,3662451,3467966
34,3662451,3467966
35,3365688,3215369
36,3365688,3215369
37,3365688,3215369
38,3365688,3215369
39,3365688,3215369
40,3018810,2841606
41,3018810,2841606
42,3018810,2841606
43,3018810,2841606
44,3018810,2841606
45,2664352,2425529
46,2664352,2425529
47,2664352,2425529
48,2664352,2425529
49,2664352,2425529
50,2251715,2054203
51,2251715,2054203
52,2251715,2054203
53,2251715,2054203
54,2251715,2054203
55,1847033,1723275
56,1847033,1723275
57,1847033,1723275
58,1847033,1723275
59,1847033,1723275
60,1427471,1379382
61,1427471,1379382
62,1427471,1379382
63,1427471,1379382
64,1427471,1379382
65,1059929,1048325
66,1059929,1048325
67,1059929,1048325
68,1059929,1048325
69,1059929,1048325
70,674242,657587
71,674242,657587
72,674242,657587
73,674242,657587
74,674242,657587
75,393795,404951
76,393795,404951
77,393795,404951
78,393795,404951
79,393795,404951
80,157785,161729
81,157785,161729
82,157785,161729
83,157785,161729
84,157785,161729
85,57315,63857
86,57315,63857
87,57315,63857
88,57315,63857
89,57315,63857
90,9997,11313
91,9997,11313
92,9997,11313
93,9997,11313
94,9997,11313
95,1319,1598
96,1319,1598
97,1319,1598
98,1319,1598
99,1319,1598
100,414,590
