age,male,female
0,2101977,2028898
1,2101977,2028898
2,2101977,2028898
3,2101977,2028898
4,2101977,2028898
5,2059749,2034930
6,2059749,2034930
7,2059749,2034930
8,2059749,2034930
9,2059749,2034930
10,1869049,1834614
11,1869049,1834614
12,1869049,1834614
13,1869049,1834614
14,1869049,1834614
15,1637603,1633649
16,1637603,1633649
17,1637603,1633649
18,1637603,1633649
19,1637603,1633649
20,1272856,1336387
21,1272856,1336387
22,1272856,1336387
23,1272856,1336387
24,1272856,1336387
25,1116051,1153575
26,1116051,1153575
27,1116051,1153575
28,1116051,1153575
29,1116051,1153575
30,1125760,1157356
31,1125760,1157356
32,1125760,1157356
33,1125760,1157356
34,1125760,1157356
35,1197752,1253292
36,1197752,1253292
37,1197752,1253292
38,1197752,1253292
39,1197752,1253292
40,1211574,1279723
41,1211574,1279723
42,1211574,1279723
43,1211574,1279723
44,1211574,1279723
45,1110885,1170094
46,1110885,1170094
47,1110885,1170094
48,1110885,1170094
49,1110885,1170094
50,1013810,1064175
51,1013810,1064175
52,1013810,1064175
53,1013810,1064175
54,1013810,1064175
55,879354,948988
56,879354,948988
57,879354,948988
58,879354,948988
59,879354,948988
60,727825,818363
61,727825,818363
62,727825,818363
63,727825,818363
64,727825,818363
65,573909,685342
66,573909,685342
67,573909,685342
68,573909,685342
69,573909,685342
70,437770,554871
71,437770,554871
72,437770,554871
73,437770,554871
74,437770,554871
75,292052,388603
76,292052,388603
77,292052,388603
78,292052,388603
79,292052,388603
80,150802,219070
81,150802,219070
82,150802,219070
83,150802,219070
84,150802,219070
85,59036,96348
86,59036,96348
87,59036,96348
88,59036,96348
89,59036,96348
90,20796,34594
91,20796,34594
92,20796,34594
93,20796,34594
94,20796,34594
95,3898,7397
96,3898,7397
97,3898,7397
98,3898,7397
99,3898,7397
100,1641,3924
