age,male,female
0,9317902,8078577
1,9317902,8078577
2,9317902,8078577
3,9317902,8078577
4,9317902,8078577
5,11536897,10282304
6,11536897,10282304
7,11536897,10282304
8,11536897,10282304
9,11536897,10282304
10,12630849,11598534
11,12630849,11598534
12,12630849,11598534
13,12630849,11598534
14,12630849,11598534
15,10739117,10075744
16,10739117,10075744
17,10739117,10075744
18,10739117,10075744
19,10739117,10075744
20,10124789,9591325
21,10124789,9591325
22,10124789,9591325
23,10124789,9591325
24,10124789,9591325
25,12948098,12366386
26,12948098,12366386
27,12948098,12366386
28,12948098,12366386
29,12948098,12366386
30,12618345,12141505
31,12618345,12141505
32,12618345,12141505
33,12618345,12141505
34,12618345,12141505
35,9522155,9213980
36,9522155,9213980
37,9522155,9213980
38,9522155,9213980
39,9522155,9213980
40,8944572,8730208
41,8944572,8730208
42,8944572,8730208
43,8944572,8730208
44,8944572,8730208
45,8175076,8105199
46,8175076,8105199
47,8175076,8105199
48,8175076,8105199
49,8175076,8105199
50,5759755,5506293
51,5759755,5506293
52,5759755,5506293
53,5759755,5506293
54,5759755,5506293
55,4538952,4291702
56,4538952,4291702
57,4538952,4291702
58,4538952,4291702
59,4538952,4291702
60,4078109,3943974
61,4078109,3943974
62,4078109,3943974
63,4078109,3943974
64,4078109,3943974
65,3252538,3370411
66,3252538,3370411
67,3252538,3370411
68,3252538,3370411
69,3252538,3370411
70,2260733,2572701
71,2260733,2572701
72,2260733,2572701
73,2260733,2572701
74,2260733,2572701
75,1370216,1810814
76,1370216,1810814
77,1370216,1810814
78,1370216,1810814
79,1370216,1810814
80,642311,1054925
81,642311,1054925
82,642311,1054925
83,642311,1054925
84,642311,1054925
85,206664,451476
86,206664,451476
87,206664,451476
88,206664,451476
89,206664,451476
90,33941,128013
91,33941,128013
92,33941,128013
93,33941,128013
94,33941,128013
95,2025,17428
96,2025,17428
97,2025,17428
98,2025,17428
99,2025,17428
100,39,3899
