age,male,female
0,356622,338181
1,356622,338181
2,356622,338181
3,356622,338181
4,356622,338181
5,378294,358804
6,378294,358804
7,378294,358804
8,378294,358804
9,378294,358804
10,407609,387374
11,407609,387374
12,407609,387374
13,407609,387374
14,407609,387374
15,445320,425193
16,445320,425193
17,445320,425193
18,445320,425193
19,445320,425193
20,496271,481419
21,496271,481419
22,496271,481419
23,496271,481419
24,496271,481419
25,492404,486324
26,492404,486324
27,492404,486324
28,492404,486324
29,492404,486324
30,463988,461823
31,463988,461823
32,463988,461823
33,463988,461823
34,463988,461823
35,531877,526132
36,531877,526132
37,531877,526132
38,531877,526132
39,531877,526132
40,689515,672334
41,689515,672334
42,689515,672334
43,689515,672334
44,689515,672334
45,692108,678337
46,692108,678337
47,692108,678337
48,692108,678337
49,692108,678337
50,591932,589519
51,591932,589519
52,591932,589519
53,591932,589519
54,591932,589519
55,524891,541553
56,524891,541553
57,524891,541553
58,524891,541553
59,524891,541553
60,415691,431699
61,415691,431699
62,415691,431699
63,415691,431699
64,415691,431699
65,476378,515346
66,476378,515346
67,476378,515346
68,476378,515346
69,476378,515346
70,422184,494652
71,422184,494652
72,422184,494652
73,422184,494652
74,422184,494652
75,257960,348147
76,257960,348147
77,257960,348147
78,257960,348147
79,257960,348147
80,162025,292743
81,162025,292743
82,162025,292743
83,162025,292743
84,162025,292743
85,68015,191994
86,68015,191994
87,68015,191994
88,68015,191994
89,68015,191994
90,14255,52867
91,14255,52867
92,14255,52867
93,14255,52867
94,14255,52867
95,3802,19210
96,3802,19210
97,3802,19210
98,3802,19210
99,3802,19210
100,1476,9846
