age,male,female
0,386553,368021
1,386553,368021
2,386553,368021
3,386553,368021
4,386553,368021
5,400732,382475
6,400732,382475
7,400732,382475
8,400732,382475
9,400732,382475
10,440394,416874
11,440394,416874
12,440394,416874
13,440394,416874
14,440394,416874
15,445605,429303
16,445605,429303
17,445605,429303
18,445605,429303
19,445605,429303
20,426198,422126
21,426198,422126
22,426198,422126
23,426198,422126
24,426198,422126
25,426196,420343
26,426196,420343
27,426196,420343
28,426196,420343
29,426196,420343
30,448975,432817
31,448975,432817
32,448975,432817
33,448975,432817
34,448975,432817
35,357704,341502
36,357704,341502
37,357704,341502
38,357704,341502
39,357704,341502
40,295003,283855
41,295003,283855
42,295003,283855
43,295003,283855
44,295003,283855
45,312756,309192
46,312756,309192
47,312756,309192
48,312756,309192
49,312756,309192
50,316619,323286
51,316619,323286
52,316619,323286
53,316619,323286
54,316619,323286
55,291230,316321
56,291230,316321
57,291230,316321
58,291230,316321
59,291230,316321
60,219114,250234
61,219114,250234
62,219114,250234
63,219114,250234
64,219114,250234
65,167352,212075
66,167352,212075
67,167352,212075
68,167352,212075
69,167352,212075
70,172976,245164
71,172976,245164
72,172976,245164
73,172976,245164
74,172976,245164
75,123304,202169
76,123304,202169
77,123304,202169
78,123304,202169
79,123304,202169
80,67125,137641
81,67125,137641
82,67125,137641
83,67125,137641
84,67125,137641
85,22995,68342
86,22995,68342
87,22995,68342
88,22995,68342
89,22995,68342
90,5939,22472
91,5939,22472
92,5939,22472
93,5939,22472
94,5939,22472
95,900,4155
96,900,4155
97,900,4155
98,900,4155
99,900,4155
100,351,1857
