age,male,female
0,815992,782633
1,815992,782633
2,815992,782633
3,815992,782633
4,815992,782633
5,821951,801733
6,821951,801733
7,821951,801733
8,821951,801733
9,821951,801733
10,1051544,1034687
11,1051544,1034687
12,1051544,1034687
13,1051544,1034687
14,1051544,1034687
15,1025092,1026593
16,1025092,1026593
17,1025092,1026593
18,1025092,1026593
19,1025092,1026593
20,936034,960237
21,936034,960237
22,936034,960237
23,936034,960237
24,936034,960237
25,854637,869201
26,854637,869201
27,854637,869201
28,854637,869201
29,854637,869201
30,829689,828678
31,829689,828678
32,829689,828678
33,829689,828678
34,829689,828678
35,716680,748759
36,716680,748759
37,716680,748759
38,716680,748759
39,716680,748759
40,502482,635545
41,502482,635545
42,502482,635545
43,502482,635545
44,502482,635545
45,443103,534621
46,443103,534621
47,443103,534621
48,443103,534621
49,443103,534621
50,431878,496361
51,431878,496361
52,431878,496361
53,431878,496361
54,431878,496361
55,372906,403561
56,372906,403561
57,372906,403561
58,372906,403561
59,372906,403561
60,319980,346695
61,319980,346695
62,319980,346695
63,319980,346695
64,319980,346695
65,232667,264878
66,232667,264878
67,232667,264878
68,232667,264878
69,232667,264878
70,150931,189491
71,150931,189491
72,150931,189491
73,150931,189491
74,150931,189491
75,84805,126342
76,84805,126342
77,84805,126342
78,84805,126342
79,84805,126342
80,35941,68939
81,35941,68939
82,35941,68939
83,35941,68939
84,35941,68939
85,10888,26192
86,10888,26192
87,10888,26192
88,10888,26192
89,10888,26192
90,1996,6196
91,1996,6196
92,1996,6196
93,1996,6196
94,1996,6196
95,233,816
96,233,816
97,233,816
98,233,816
99,233,816
100,52,233
