age,male,female
0,10852695,9610540
1,10852695,9610540
2,10852695,9610540
3,10852695,9610540
4,10852695,9610540
5,13150698,11994968
6,13150698,11994968
7,13150698,11994968
8,13150698,11994968
9,13150698,11994968
10,11031652,10305703
11,11031652,10305703
12,11031652,10305703
13,11031652,10305703
14,11031652,10305703
15,9979915,9424323
16,9979915,9424323
17,9979915,9424323
18,9979915,9424323
19,9979915,9424323
20,12538415,11929160
21,12538415,11929160
22,12538415,11929160
23,12538415,11929160
24,12538415,11929160
25,12942163,12402292
26,12942163,12402292
27,12942163,12402292
28,12942163,12402292
29,12942163,12402292
30,10732749,10340663
31,10732749,10340663
32,10732749,10340663
33,10732749,10340663
34,10732749,10340663
35,8572957,8311540
36,8572957,8311540
37,8572957,8311540
38,8572957,8311540
39,8572957,8311540
40,8724200,8579679
41,8724200,8579679
42,8724200,8579679
43,8724200,8579679
44,8724200,8579679
45,6348420,6059049
46,6348420,6059049
47,6348420,6059049
48,6348420,6059049
49,6348420,6059049
50,4838052,4516239
51,4838052,4516239
52,4838052,4516239
53,4838052,4516239
54,4838052,4516239
55,4409718,4108022
56,4409718,4108022
57,4409718,4108022
58,4409718,4108022
59,4409718,4108022
60,3801769,3750082
61,3801769,3750082
62,3801769,3750082
63,3801769,3750082
64,3801769,3750082
65,2828131,2985665
66,2828131,2985665
67,2828131,2985665
68,2828131,2985665
69,2828131,2985665
70,1951932,2305761
71,1951932,2305761
72,1951932,2305761
73,1951932,2305761
74,1951932,2305761
75,1112576,1550642
76,1112576,1550642
77,1112576,1550642
78,1112576,1550642
79,1112576,1550642
80,515733,874554
81,515733,874554
82,515733,874554
83,515733,874554
84,515733,874554
85,148431,363540
86,148431,363540
87,148431,363540
88,148431,363540
89,148431,363540
90,23620,98516
91,23620,98516
92,23620,98516
93,23620,98516
94,23620,98516
95,1118,10508
96,1118,10508
97,1118,10508
98,1118,10508
99,1118,10508
100,12,1948
