age,male,female
0,366484,347859
1,366484,347859
2,366484,347859
3,366484,347859
4,366484,347859
5,347695,329295
6,347695,329295
7,347695,329295
8,347695,329295
9,347695,329295
10,432200,409146
11,432200,409146
12,432200,409146
13,432200,409146
14,432200,409146
15,483239,452966
16,483239,452966
17,483239,452966
18,483239,452966
19,483239,452966
20,455651,442706
21,455651,442706
22,455651,442706
23,455651,442706
24,455651,442706
25,397741,388969
26,397741,388969
27,397741,388969
28,397741,388969
29,397741,388969
30,389673,385138
31,389673,385138
32,389673,385138
33,389673,385138
34,389673,385138
35,397935,395852
36,397935,395852
37,397935,395852
38,397935,395852
39,397935,395852
40,330027,324005
41,330027,324005
42,330027,324005
43,330027,324005
44,330027,324005
45,313247,309894
46,313247,309894
47,313247,309894
48,313247,309894
49,313247,309894
50,308164,312431
51,308164,312431
52,308164,312431
53,308164,312431
54,308164,312431
55,306479,321353
56,306479,321353
57,306479,321353
58,306479,321353
59,306479,321353
60,296494,334974
61,296494,334974
62,296494,334974
63,296494,334974
64,296494,334974
65,231300,282384
66,231300,282384
67,231300,282384
68,231300,282384
69,231300,282384
70,203326,278101
71,203326,278101
72,203326,278101
73,203326,278101
74,203326,278101
75,133418,222761
76,133418,222761
77,133418,222761
78,133418,222761
79,133418,222761
80,64232,144742
81,64232,144742
82,64232,144742
83,64232,144742
84,64232,144742
85,22061,68893
86,22061,68893
87,22061,68893
88,22061,68893
89,22061,68893
90,5855,23421
91,5855,23421
92,5855,23421
93,5855,23421
94,5855,23421
95,912,4825
96,912,4825
97,912,4825
98,912,4825
99,912,4825
100,378,2423
