age,male,female
0,393292,372713
1,393292,372713
2,393292,372713
3,393292,372713
4,393292,372713
5,420109,398876
6,420109,398876
7,420109,398876
8,420109,398876
9,420109,398876
10,394300,372981
11,394300,372981
12,394300,372981
13,394300,372981
14,394300,372981
15,397465,375019
16,397465,375019
17,397465,375019
18,397465,375019
19,397465,375019
20,435715,404097
21,435715,404097
22,435715,404097
23,435715,404097
24,435715,404097
25,503406,458473
26,503406,458473
27,503406,458473
28,503406,458473
29,503406,458473
30,549814,512234
31,549814,512234
32,549814,512234
33,549814,512234
34,549814,512234
35,575658,546086
36,575658,546086
37,575658,546086
38,575658,546086
39,575658,546086
40,545705,534708
41,545705,534708
42,545705,534708
43,545705,534708
44,545705,534708
45,502460,499055
46,502460,499055
47,502460,499055
48,502460,499055
49,502460,499055
50,554971,553016
51,554971,553016
52,554971,553016
53,554971,553016
54,554971,553016
55,685454,682905
56,685454,682905
57,685454,682905
58,685454,682905
59,685454,682905
60,652223,667236
61,652223,667236
62,652223,667236
63,652223,667236
64,652223,667236
65,520326,558957
66,520326,558957
67,520326,558957
68,520326,558957
69,520326,558957
70,421051,488177
71,421051,488177
72,421051,488177
73,421051,488177
74,421051,488177
75,297456,361700
76,297456,361700
77,297456,361700
78,297456,361700
79,297456,361700
80,276815,374943
81,276815,374943
82,276815,374943
83,276815,374943
84,276815,374943
85,167292,268597
86,167292,268597
87,167292,268597
88,167292,268597
89,167292,268597
90,47596,99564
91,47596,99564
92,47596,99564
93,47596,99564
94,47596,99564
95,8922,27346
96,8922,27346
97,8922,27346
98,8922,27346
99,8922,27346
100,2883,15795
