age,male,female
0,453107,429454
1,453107,429454
2,453107,429454
3,453107,429454
4,453107,429454
5,399795,378095
6,399795,378095
7,399795,378095
8,399795,378095
9,399795,378095
10,417036,397271
11,417036,397271
12,417036,397271
13,417036,397271
14,417036,397271
15,406951,393914
16,406951,393914
17,406951,393914
18,406951,393914
19,406951,393914
20,333887,336981
21,333887,336981
22,333887,336981
23,333887,336981
24,333887,336981
25,332537,324537
26,332537,324537
27,332537,324537
28,332537,324537
29,332537,324537
30,340354,336290
31,340354,336290
32,340354,336290
33,340354,336290
34,340354,336290
35,356052,357537
36,356052,357537
37,356052,357537
38,356052,357537
39,356052,357537
40,358099,366135
41,358099,366135
42,358099,366135
43,358099,366135
44,358099,366135
45,344171,359849
46,344171,359849
47,344171,359849
48,344171,359849
49,344171,359849
50,353171,372202
51,353171,372202
52,353171,372202
53,353171,372202
54,353171,372202
55,323958,352107
56,323958,352107
57,323958,352107
58,323958,352107
59,323958,352107
60,260293,313111
61,260293,313111
62,260293,313111
63,260293,313111
64,260293,313111
65,187624,265398
66,187624,265398
67,187624,265398
68,187624,265398
69,187624,265398
70,136927,214218
71,136927,214218
72,136927,214218
73,136927,214218
74,136927,214218
75,88549,155798
76,88549,155798
77,88549,155798
78,88549,155798
79,88549,155798
80,46669,91518
81,46669,91518
82,46669,91518
83,46669,91518
84,46669,91518
85,17143,38502
86,17143,38502
87,17143,38502
88,17143,38502
89,17143,38502
90,3475,9833
91,3475,9833
92,3475,9833
93,3475,9833
94,3475,9833
95,365,1509
96,365,1509
97,365,1509
98,365,1509
99,365,1509
100,101,614
