age,male,female
0,6765482,6394711
1,6765482,6394711
2,6765482,6394711
3,6765482,6394711
4,6765482,6394711
5,5072207,4779420
6,5072207,4779420
7,5072207,4779420
8,5072207,4779420
9,5072207,4779420
10,4168835,4003666
11,4168835,4003666
12,4168835,4003666
13,4168835,4003666
14,4168835,4003666
15,3859234,3733450
16,3859234,3733450
17,3859234,3733450
18,3859234,3733450
19,3859234,3733450
20,3541679,3395021
21,3541679,3395021
22,3541679,3395021
23,3541679,3395021
24,3541679,3395021
25,3217023,2963731
26,3217023,2963731
27,3217023,2963731
28,3217023,2963731
29,3217023,2963731
30,2855105,2582238
31,2855105,2582238
32,2855105,2582238
33,2855105,2582238
34,2855105,2582238
35,2511832,2276431
36,2511832,2276431
37,2511832,2276431
38,2511832,2276431
39,2511832,2276431
40,2157452,1983578
41,2157452,1983578
42,2157452,1983578
43,2157452,1983578
44,2157452,1983578
45,1875861,1742041
46,1875861,1742041
47,1875861,1742041
48,1875861,1742041
49,1875861,1742041
50,1502265,1360626
51,1502265,1360626
52,1502265,1360626
53,1502265,1360626
54,1502265,1360626
55,1239174,1165456
56,1239174,1165456
57,1239174,1165456
58,1239174,1165456
59,1239174,1165456
60,844179,790354
61,844179,790354
62,844179,790354
63,844179,790354
64,844179,790354
65,632611,640332
66,632611,640332
67,632611,640332
68,632611,640332
69,632611,640332
70,340532,347275
71,340532,347275
72,340532,347275
73,340532,347275
74,340532,347275
75,197311,202631
76,197311,202631
77,197311,202631
78,197311,202631
79,197311,202631
80,88502,96145
81,88502,96145
82,88502,96145
83,88502,96145
84,88502,96145
85,26284,31909
86,26284,31909
87,26284,31909
88,26284,31909
89,26284,31909
90,4704,7036
91,4704,7036
92,4704,7036
93,4704,7036
94,4704,7036
95,439,900
96,439,900
97,439,900
98,439,900
99,439,900
100,152,441
