age,male,female
0,14075464,13342587
1,14075464,13342587
2,14075464,13342587
3,14075464,13342587
4,14075464,13342587
5,12573618,11931104
6,12573618,11931104
7,12573618,11931104
8,12573618,11931104
9,12573618,11931104
10,8561137,8146538
11,8561137,8146538
12,8561137,8146538
13,8561137,8146538
14,8561137,8146538
15,9632805,9253298
16,9632805,9253298
17,9632805,9253298
18,9632805,9253298
19,9632805,9253298
20,7402523,6963409
21,7402523,6963409
22,7402523,6963409
23,7402523,6963409
24,7402523,6963409
25,5557673,5050524
26,5557673,5050524
27,5557673,5050524
28,5557673,5050524
29,5557673,5050524
30,5238202,4619028
31,5238202,4619028
32,5238202,4619028
33,5238202,4619028
34,5238202,4619028
35,4990994,4531220
36,4990994,4531220
37,4990994,4531220
38,4990994,4531220
39,4990994,4531220
40,4276621,3944241
41,4276621,3944241
42,4276621,3944241
43,4276621,3944241
44,4276621,3944241
45,3656634,3503871
46,3656634,3503871
47,3656634,3503871
48,3656634,3503871
49,3656634,3503871
50,3020872,3027268
51,3020872,3027268
52,3020872,3027268
53,3020872,3027268
54,3020872,3027268
55,2529697,2624604
56,2529697,2624604
57,2529697,2624604
58,2529697,2624604
59,2529697,2624604
60,1889884,2158162
61,1889884,2158162
62,1889884,2158162
63,1889884,2158162
64,1889884,2158162
65,1321356,1694363
66,1321356,1694363
67,1321356,1694363
68,1321356,1694363
69,1321356,1694363
70,741325,1063155
71,741325,1063155
72,741325,1063155
73,741325,1063155
74,741325,1063155
75,360947,620730
76,360947,620730
77,360947,620730
78,360947,620730
79,360947,620730
80,128095,261551
81,128095,261551
82,128095,261551
83,128095,261551
84,128095,261551
85,29387,74942
86,29387,74942
87,29387,74942
88,29387,74942
89,29387,74942
90,3547,11765
91,3547,11765
92,3547,11765
93,3547,11765
94,3547,11765
95,152,657
96,152,657
97,152,657
98,152,657
99,152,657
100,13,98
