age,male,female
0,3085893,3012722
1,3085893,3012722
2,3085893,3012722
3,3085893,3012722
4,3085893,3012722
5,2542029,2472901
6,2542029,2472901
7,2542029,2472901
8,2542029,2472901
9,2542029,2472901
10,2096450,2025959
11,2096450,2025959
12,2096450,2025959
13,2096450,2025959
14,2096450,2025959
15,1768301,1704558
16,1768301,1704558
17,1768301,1704558
18,1768301,1704558
19,1768301,1704558
20,1500031,1459439
21,1500031,1459439
22,1500031,1459439
23,1500031,1459439
24,1500031,1459439
25,1316462,1292034
26,1316462,1292034
27,1316462,1292034
28,1316462,1292034
29,1316462,1292034
30,1135657,1116968
31,1135657,1116968
32,1135657,1116968
33,1135657,1116968
34,1135657,1116968
35,909960,898830
36,909960,898830
37,909960,898830
38,909960,898830
39,909960,898830
40,718426,711797
41,718426,711797
42,718426,711797
43,718426,711797
44,718426,711797
45,578951,586742
46,578951,586742
47,578951,586742
48,578951,586742
49,578951,586742
50,466955,486770
51,466955,486770
52,466955,486770
53,466955,486770
54,466955,486770
55,368406,395223
56,368406,395223
57,368406,395223
58,368406,395223
59,368406,395223
60,283187,308145
61,283187,308145
62,283187,308145
63,283187,308145
64,283187,308145
65,220844,235783
66,220844,235783
67,220844,235783
68,220844,235783
69,220844,235783
70,144107,157763
71,144107,157763
72,144107,157763
73,144107,157763
74,144107,157763
75,79666,90286
76,79666,90286
77,79666,90286
78,79666,90286
79,79666,90286
80,34475,41129
81,34475,41129
82,34475,41129
83,34475,41129
84,34475,41129
85,10367,13605
86,10367,13605
87,10367,13605
88,10367,13605
89,10367,13605
90,1770,2837
91,1770,2837
92,1770,2837
93,1770,2837
94,1770,2837
95,142,319
96,142,319
97,142,319
98,142,319
99,142,319
100,27,98
