age,male,female
0,1776529,1731631
1,1776529,1731631
2,1776529,1731631
3,1776529,1731631
4,1776529,1731631
5,1565699,1537199
6,1565699,1537199
7,1565699,1537199
8,1565699,1537199
9,1565699,1537199
10,1434457,1415015
11,1434457,1415015
12,1434457,1415015
13,1434457,1415015
14,1434457,1415015
15,1381570,1367906
16,1381570,1367906
17,1381570,1367906
18,1381570,1367906
19,1381570,1367906
20,1228837,1222487
21,1228837,1222487
22,1228837,1222487
23,1228837,1222487
24,1228837,1222487
25,1034262,1035211
26,1034262,1035211
27,1034262,1035211
28,1034262,1035211
29,1034262,1035211
30,837952,841379
31,837952,841379
32,837952,841379
33,837952,841379
34,837952,841379
35,675352,655575
36,675352,655575
37,675352,655575
38,675352,655575
39,675352,655575
40,573030,567371
41,573030,567371
42,573030,567371
43,573030,567371
44,573030,567371
45,476912,510909
46,476912,510909
47,476912,510909
48,476912,510909
49,476912,510909
50,411150,452792
51,411150,452792
52,411150,452792
53,411150,452792
54,411150,452792
55,329594,358688
56,329594,358688
57,329594,358688
58,329594,358688
59,329594,358688
60,242887,264263
61,242887,264263
62,242887,264263
63,242887,264263
64,242887,264263
65,179456,200871
66,179456,200871
67,179456,200871
68,179456,200871
69,179456,200871
70,118576,137137
71,118576,137137
72,118576,137137
73,118576,137137
74,118576,137137
75,65450,80163
76,65450,80163
77,65450,80163
78,65450,80163
79,65450,80163
80,29864,40020
81,29864,40020
82,29864,40020
83,29864,40020
84,29864,40020
85,10004,14917
86,10004,14917
87,10004,14917
88,10004,14917
89,10004,14917
90,2360,4094
91,2360,4094
92,2360,4094
93,2360,4094
94,2360,4094
95,312,657
96,312,657
97,312,657
98,312,657
99,312,657
100,105,299
