age,male,female
0,1503734,1445256
1,1503734,1445256
2,1503734,1445256
3,1503734,1445256
4,1503734,1445256
5,1594103,1535059
6,1594103,1535059
7,1594103,1535059
8,1594103,1535059
9,1594103,1535059
10,1722423,1662522
11,1722423,1662522
12,1722423,1662522
13,1722423,1662522
14,1722423,1662522
15,1711142,1661436
16,1711142,1661436
17,1711142,1661436
18,1711142,1661436
19,1711142,1661436
20,1730258,1701350
21,1730258,1701350
22,1730258,1701350
23,1730258,1701350
24,1730258,1701350
25,1753903,1746842
26,1753903,1746842
27,1753903,1746842
28,1753903,1746842
29,1753903,1746842
30,1626013,1643143
31,1626013,1643143
32,1626013,1643143
33,1626013,1643143
34,1626013,1643143
35,1435240,1465522
36,1435240,1465522
37,1435240,1465522
38,1435240,1465522
39,1435240,1465522
40,1294119,1333317
41,1294119,1333317
42,1294119,1333317
43,1294119,1333317
44,1294119,1333317
45,1220157,1269979
46,1220157,1269979
47,1220157,1269979
48,1220157,1269979
49,1220157,1269979
50,1057617,1116636
51,1057617,1116636
52,1057617,1116636
53,1057617,1116636
54,1057617,1116636
55,852969,922572
56,852969,922572
57,852969,922572
58,852969,922572
59,852969,922572
60,643770,719965
61,643770,719965
62,643770,719965
63,643770,719965
64,643770,719965
65,463570,524205
66,463570,524205
67,463570,524205
68,463570,524205
69,463570,524205
70,330495,405470
71,330495,405470
72,330495,405470
73,330495,405470
74,330495,405470
75,204556,297022
76,204556,297022
77,204556,297022
78,204556,297022
79,204556,297022
80,111313,183055
81,111313,183055
82,111313,183055
83,111313,183055
84,111313,183055
85,45901,78924
86,45901,78924
87,45901,78924
88,45901,78924
89,45901,78924
90,13165,22470
91,13165,22470
92,13165,22470
93,13165,22470
94,13165,22470
95,2641,4317
96,2641,4317
97,2641,4317
98,2641,4317
99,2641,4317
100,1616,2356
