age,male,female
0,938638,890629
1,938638,890629
2,938638,890629
3,938638,890629
4,938638,890629
5,1050066,996746
6,1050066,996746
7,1050066,996746
8,1050066,996746
9,1050066,996746
10,863036,822488
11,863036,822488
12,863036,822488
13,863036,822488
14,863036,822488
15,814961,770965
16,814961,770965
17,814961,770965
18,814961,770965
19,814961,770965
20,821776,788998
21,821776,788998
22,821776,788998
23,821776,788998
24,821776,788998
25,988958,957267
26,988958,957267
27,988958,957267
28,988958,957267
29,988958,957267
30,1084974,1056510
31,1084974,1056510
32,1084974,1056510
33,1084974,1056510
34,1084974,1056510
35,962567,943174
36,962567,943174
37,962567,943174
38,962567,943174
39,962567,943174
40,843032,834923
41,843032,834923
42,843032,834923
43,843032,834923
44,843032,834923
45,804674,804321
46,804674,804321
47,804674,804321
48,804674,804321
49,804674,804321
50,697649,724650
51,697649,724650
52,697649,724650
53,697649,724650
54,697649,724650
55,483814,613772
56,483814,613772
57,483814,613772
58,483814,613772
59,483814,613772
60,379401,488981
61,379401,488981
62,379401,488981
63,379401,488981
64,379401,488981
65,343089,440839
66,343089,440839
67,343089,440839
68,343089,440839
69,343089,440839
70,254390,333379
71,254390,333379
72,254390,333379
73,254390,333379
74,254390,333379
75,164081,233772
76,164081,233772
77,164081,233772
78,164081,233772
79,164081,233772
80,78679,128860
81,78679,128860
82,78679,128860
83,78679,128860
84,78679,128860
85,24858,49642
86,24858,49642
87,24858,49642
88,24858,49642
89,24858,49642
90,6517,15551
91,6517,15551
92,6517,15551
93,6517,15551
94,6517,15551
95,915,2543
96,915,2543
97,915,2543
98,915,2543
99,915,2543
100,255,849
