age,male,female
0,59612745,56749380
1,59612745,56749380
2,59612745,56749380
3,59612745,56749380
4,59612745,56749380
5,53802217,51312967
6,53802217,51312967
7,53802217,51312967
8,53802217,51312967
9,53802217,51312967
10,53122689,50746637
11,53122689,50746637
12,53122689,50746637
13,53122689,50746637
14,53122689,50746637
15,49213291,47192526
16,49213291,47192526
17,49213291,47192526
18,49213291,47192526
19,49213291,47192526
20,42233292,40702076
21,42233292,40702076
22,42233292,40702076
23,42233292,40702076
24,42233292,40702076
25,39086066,37930213
26,39086066,37930213
27,39086066,37930213
28,39086066,37930213
29,39086066,37930213
30,33484553,32616578
31,33484553,32616578
32,33484553,32616578
33,33484553,32616578
34,33484553,32616578
35,26382934,25635225
36,26382934,25635225
37,26382934,25635225
38,26382934,25635225
39,26382934,25635225
40,23226109,22727523
41,23226109,22727523
42,23226109,22727523
43,23226109,22727523
44,23226109,22727523
45,21308530,21123271
46,21308530,21123271
47,21308530,21123271
48,21308530,21123271
49,21308530,21123271
50,18799248,19061253
51,18799248,19061253
52,18799248,19061253
53,18799248,19061253
54,18799248,19061253
55,15870982,17009535
56,15870982,17009535
57,15870982,17009535
58,15870982,17009535
59,15870982,17009535
60,12171555,13929783
61,12171555,13929783
62,12171555,13929783
63,12171555,13929783
64,12171555,13929783
65,9010086,10982848
66,9010086,10982848
67,9010086,10982848
68,9010086,10982848
69,9010086,10982848
70,6773503,9170157
71,6773503,9170157
72,6773503,9170157
73,6773503,9170157
74,6773503,9170157
75,4062503,6227536
76,4062503,6227536
77,4062503,6227536
78,4062503,6227536
79,4062503,6227536
80,1930216,3479094
81,1930216,3479094
82,1930216,3479094
83,1930216,3479094
84,1930216,3479094
85,656357,1428143
86,656357,1428143
87,656357,1428143
88,656357,1428143
89,656357,1428143
90,161619,415283
91,161619,415283
92,161619,415283
93,161619,415283
94,161619,415283
95,26518,79710
96,26518,79710
97,26518,79710
98,26518,79710
99,26518,79710
100,12009,41796
