age,male,female
0,7837778,6933268
1,7837778,6933268
2,7837778,6933268
3,7837778,6933268
4,7837778,6933268
5,9721393,8410163
6,9721393,8410163
7,9721393,8410163
8,9721393,8410163
9,9721393,8410163
10,9307368,7948855
11,9307368,7948855
12,9307368,7948855
13,9307368,7948855
14,9307368,7948855
15,8572948,7314300
16,8572948,7314300
17,8572948,7314300
18,8572948,7314300
19,8572948,7314300
20,8814458,7600815
21,8814458,7600815
22,8814458,7600815
23,8814458,7600815
24,8814458,7600815
25,9886353,8733835
26,9886353,8733835
27,9886353,8733835
28,9886353,8733835
29,9886353,8733835
30,12812844,11701343
31,12812844,11701343
32,12812844,11701343
33,12812844,11701343
34,12812844,11701343
35,10949643,10282294
36,10949643,10282294
37,10949643,10282294
38,10949643,10282294
39,10949643,10282294
40,9554462,9120179
41,9554462,9120179
42,9554462,9120179
43,9554462,9120179
44,9554462,9120179
45,11267876,10927517
46,11267876,10927517
47,11267876,10927517
48,11267876,10927517
49,11267876,10927517
50,12205009,12066806
51,12205009,12066806
52,12205009,12066806
53,12205009,12066806
54,12205009,12066806
55,10726511,10826374
56,10726511,10826374
57,10726511,10826374
58,10726511,10826374
59,10726511,10826374
60,6887501,7203239
61,6887501,7203239
62,6887501,7203239
63,6887501,7203239
64,6887501,7203239
65,7074313,7836124
66,7074313,7836124
67,7074313,7836124
68,7074313,7836124
69,7074313,7836124
70,4681655,5388453
71,4681655,5388453
72,4681655,5388453
73,4681655,5388453
74,4681655,5388453
75,2728960,3307708
76,2728960,3307708
77,2728960,3307708
78,2728960,3307708
79,2728960,3307708
80,1640251,2228437
81,1640251,2228437
82,1640251,2228437
83,1640251,2228437
84,1640251,2228437
85,751576,1273488
86,751576,1273488
87,751576,1273488
88,751576,1273488
89,751576,1273488
90,195578,452227
91,195578,452227
92,195578,452227
93,195578,452227
94,195578,452227
95,21782,86526
96,21782,86526
97,21782,86526
98,21782,86526
99,21782,86526
100,2116,34098
