age,male,female
0,734771,697308
1,734771,697308
2,734771,697308
3,734771,697308
4,734771,697308
5,845539,801778
6,845539,801778
7,845539,801778
8,845539,801778
9,845539,801778
10,1044131,982344
11,1044131,982344
12,1044131,982344
13,1044131,982344
14,1044131,982344
15,936196,883890
16,936196,883890
17,936196,883890
18,936196,883890
19,936196,883890
20,805551,765069
21,805551,765069
22,805551,765069
23,805551,765069
24,805551,765069
25,789108,750847
26,789108,750847
27,789108,750847
28,789108,750847
29,789108,750847
30,867094,838165
31,867094,838165
32,867094,838165
33,867094,838165
34,867094,838165
35,1125710,1105813
36,1125710,1105813
37,1125710,1105813
38,1125710,1105813
39,1125710,1105813
40,904183,888289
41,904183,888289
42,904183,888289
43,904183,888289
44,904183,888289
45,852054,852039
46,852054,852039
47,852054,852039
48,852054,852039
49,852054,852039
50,798035,811787
51,798035,811787
52,798035,811787
53,798035,811787
54,798035,811787
55,704143,733555
56,704143,733555
57,704143,733555
58,704143,733555
59,704143,733555
60,535612,637283
61,535612,637283
62,535612,637283
63,535612,637283
64,535612,637283
65,359600,502163
66,359600,502163
67,359600,502163
68,359600,502163
69,359600,502163
70,303108,420406
71,303108,420406
72,303108,420406
73,303108,420406
74,303108,420406
75,212952,318785
76,212952,318785
77,212952,318785
78,212952,318785
79,212952,318785
80,110475,182785
81,110475,182785
82,110475,182785
83,110475,182785
84,110475,182785
85,42993,84690
86,42993,84690
87,42993,84690
88,42993,84690
89,42993,84690
90,10833,25399
91,10833,25399
92,10833,25399
93,10833,25399
94,10833,25399
95,2307,5969
96,2307,5969
97,2307,5969
98,2307,5969
99,2307,5969
100,685,2257
