age,male,female
0,413198,394363
1,413198,394363
2,413198,394363
3,413198,394363
4,413198,394363
5,297860,281118
6,297860,281118
7,297860,281118
8,297860,281118
9,297860,281118
10,277453,252733
11,277453,252733
12,277453,252733
13,277453,252733
14,277453,252733
15,288753,249010
16,288753,249010
17,288753,249010
18,288753,249010
19,288753,249010
20,221150,210673
21,221150,210673
22,221150,210673
23,221150,210673
24,221150,210673
25,150300,180677
26,150300,180677
27,150300,180677
28,150300,180677
29,150300,180677
30,143988,158928
31,143988,158928
32,143988,158928
33,143988,158928
34,143988,158928
35,133301,131613
36,133301,131613
37,133301,131613
38,133301,131613
39,133301,131613
40,113064,111391
41,113064,111391
42,113064,111391
43,113064,111391
44,113064,111391
45,104110,97432
46,104110,97432
47,104110,97432
48,104110,97432
49,104110,97432
50,77584,75552
51,77584,75552
52,77584,75552
53,77584,75552
54,77584,75552
55,58280,64473
56,58280,64473
57,58280,64473
58,58280,64473
59,58280,64473
60,45517,56219
61,45517,56219
62,45517,56219
63,45517,56219
64,45517,56219
65,31345,43879
66,31345,43879
67,31345,43879
68,31345,43879
69,31345,43879
70,16958,25844
71,16958,25844
72,16958,25844
73,16958,25844
74,16958,25844
75,6838,11425
76,6838,11425
77,6838,11425
78,6838,11425
79,6838,11425
80,1872,3344
81,1872,3344
82,1872,3344
83,1872,3344
84,1872,3344
85,501,888
86,501,888
87,501,888
88,501,888
89,501,888
90,167,224
91,167,224
92,167,224
93,167,224
94,167,224
95,63,43
96,63,43
97,63,43
98,63,43
99,63,43
100,96,49
