age,male,female
0,386219,371655
1,386219,371655
2,386219,371655
3,386219,371655
4,386219,371655
5,386785,370093
6,386785,370093
7,386785,370093
8,386785,370093
9,386785,370093
10,371452,356405
11,371452,356405
12,371452,356405
13,371452,356405
14,371452,356405
15,374114,354944
16,374114,354944
17,374114,354944
18,374114,354944
19,374114,354944
20,428290,443383
21,428290,443383
22,428290,443383
23,428290,443383
24,428290,443383
25,432946,458508
26,432946,458508
27,432946,458508
28,432946,458508
29,432946,458508
30,419610,435272
31,419610,435272
32,419610,435272
33,419610,435272
34,419610,435272
35,381713,400692
36,381713,400692
37,381713,400692
38,381713,400692
39,381713,400692
40,393337,396651
41,393337,396651
42,393337,396651
43,393337,396651
44,393337,396651
45,371528,380702
46,371528,380702
47,371528,380702
48,371528,380702
49,371528,380702
50,312033,311717
51,312033,311717
52,312033,311717
53,312033,311717
54,312033,311717
55,292145,294354
56,292145,294354
57,292145,294354
58,292145,294354
59,292145,294354
60,279358,297073
61,279358,297073
62,279358,297073
63,279358,297073
64,279358,297073
65,260869,296643
66,260869,296643
67,260869,296643
68,260869,296643
69,260869,296643
70,205190,271442
71,205190,271442
72,205190,271442
73,205190,271442
74,205190,271442
75,145443,225041
76,145443,225041
77,145443,225041
78,145443,225041
79,145443,225041
80,86978,169346
81,86978,169346
82,86978,169346
83,86978,169346
84,86978,169346
85,34817,94579
86,34817,94579
87,34817,94579
88,34817,94579
89,34817,94579
90,8524,34710
91,8524,34710
92,8524,34710
93,8524,34710
94,8524,34710
95,1209,7141
96,1209,7141
97,1209,7141
98,1209,7141
99,1209,7141
100,557,4159
