age,male,female
0,475049,450845
1,475049,450845
2,475049,450845
3,475049,450845
4,475049,450845
5,539323,509584
6,539323,509584
7,539323,509584
8,539323,509584
9,539323,509584
10,572201,540070
11,572201,540070
12,572201,540070
13,572201,540070
14,572201,540070
15,605617,572190
16,605617,572190
17,605617,572190
18,605617,572190
19,605617,572190
20,618665,592567
21,618665,592567
22,618665,592567
23,618665,592567
24,618665,592567
25,617664,592544
26,617664,592544
27,617664,592544
28,617664,592544
29,617664,592544
30,661997,637473
31,661997,637473
32,661997,637473
33,661997,637473
34,661997,637473
35,739251,722450
36,739251,722450
37,739251,722450
38,739251,722450
39,739251,722450
40,858480,842826
41,858480,842826
42,858480,842826
43,858480,842826
44,858480,842826
45,1010765,990559
46,1010765,990559
47,1010765,990559
48,1010765,990559
49,1010765,990559
50,878150,850187
51,878150,850187
52,878150,850187
53,878150,850187
54,878150,850187
55,798687,776154
56,798687,776154
57,798687,776154
58,798687,776154
59,798687,776154
60,753805,748810
61,753805,748810
62,753805,748810
63,753805,748810
64,753805,748810
65,815254,841061
66,815254,841061
67,815254,841061
68,815254,841061
69,815254,841061
70,901750,998802
71,901750,998802
72,901750,998802
73,901750,998802
74,901750,998802
75,639430,771475
76,639430,771475
77,639430,771475
78,639430,771475
79,639430,771475
80,462924,640799
81,462924,640799
82,462924,640799
83,462924,640799
84,462924,640799
85,267775,479845
86,267775,479845
87,267775,479845
88,267775,479845
89,267775,479845
90,97499,248842
91,97499,248842
92,97499,248842
93,97499,248842
94,97499,248842
95,23639,93614
96,23639,93614
97,23639,93614
98,23639,93614
99,23639,93614
100,14570,96849
