age,male,female
0,604079,574905
1,604079,574905
2,604079,574905
3,604079,574905
4,604079,574905
5,657987,625417
6,657987,625417
7,657987,625417
8,657987,625417
9,657987,625417
10,751726,716243
11,751726,716243
12,751726,716243
13,751726,716243
14,751726,716243
15,879131,839698
16,879131,839698
17,879131,839698
18,879131,839698
19,879131,839698
20,1023391,983818
21,1023391,983818
22,1023391,983818
23,1023391,983818
24,1023391,983818
25,890052,844839
26,890052,844839
27,890052,844839
28,890052,844839
29,890052,844839
30,827050,779928
31,827050,779928
32,827050,779928
33,827050,779928
34,827050,779928
35,805076,766395
36,805076,766395
37,805076,766395
38,805076,766395
39,805076,766395
40,915569,883081
41,915569,883081
42,915569,883081
43,915569,883081
44,915569,883081
45,1103975,1087564
46,1103975,1087564
47,1103975,1087564
48,1103975,1087564
49,1103975,1087564
50,889441,885231
51,889441,885231
52,889441,885231
53,889441,885231
54,889441,885231
55,798715,816440
56,798715,816440
57,798715,816440
58,798715,816440
59,798715,816440
60,726765,773268
61,726765,773268
62,726765,773268
63,726765,773268
64,726765,773268
65,602958,680803
66,602958,680803
67,602958,680803
68,602958,680803
69,602958,680803
70,401308,560131
71,401308,560131
72,401308,560131
73,401308,560131
74,401308,560131
75,248153,407214
76,248153,407214
77,248153,407214
78,248153,407214
79,248153,407214
80,163110,296086
81,163110,296086
82,163110,296086
83,163110,296086
84,163110,296086
85,72482,158582
86,72482,158582
87,72482,158582
88,72482,158582
89,72482,158582
90,20738,55327
91,20738,55327
92,20738,55327
93,20738,55327
94,20738,55327
95,3454,13281
96,3454,13281
97,3454,13281
98,3454,13281
99,3454,13281
100,453,5130
