age,male,female
0,350429,332060
1,350429,332060
2,350429,332060
3,350429,332060
4,350429,332060
5,433646,410552
6,433646,410552
7,433646,410552
8,433646,410552
9,433646,410552
10,479332,453434
11,479332,453434
12,479332,453434
13,479332,453434
14,479332,453434
15,455916,438626
16,455916,438626
17,455916,438626
18,455916,438626
19,455916,438626
20,408642,391046
21,408642,391046
22,408642,391046
23,408642,391046
24,408642,391046
25,397436,390582
26,397436,390582
27,397436,390582
28,397436,390582
29,397436,390582
30,404792,398759
31,404792,398759
32,404792,398759
33,404792,398759
34,404792,398759
35,334933,326272
36,334933,326272
37,334933,326272
38,334933,326272
39,334933,326272
40,319851,312994
41,319851,312994
42,319851,312994
43,319851,312994
44,319851,312994
45,318138,318284
46,318138,318284
47,318138,318284
48,318138,318284
49,318138,318284
50,323982,332589
51,323982,332589
52,323982,332589
53,323982,332589
54,323982,332589
55,325832,352164
56,325832,352164
57,325832,352164
58,325832,352164
59,325832,352164
60,269070,306153
61,269070,306153
62,269070,306153
63,269070,306153
64,269070,306153
65,257422,314703
66,257422,314703
67,257422,314703
68,257422,314703
69,257422,314703
70,193951,274006
71,193951,274006
72,193951,274006
73,193951,274006
74,193951,274006
75,114549,206073
76,114549,206073
77,114549,206073
78,114549,206073
79,114549,206073
80,52420,124578
81,52420,124578
82,52420,124578
83,52420,124578
84,52420,124578
85,20461,60586
86,20461,60586
87,20461,60586
88,20461,60586
89,20461,60586
90,5449,20518
91,5449,20518
92,5449,20518
93,5449,20518
94,5449,20518
95,774,3682
96,774,3682
97,774,3682
98,774,3682
99,774,3682
100,307,1804
