age,male,female
0,1747481,1687197
1,1747481,1687197
2,1747481,1687197
3,1747481,1687197
4,1747481,1687197
5,1789090,1734850
6,1789090,1734850
7,1789090,1734850
8,1789090,1734850
9,1789090,1734850
10,1836106,1789593
11,1836106,1789593
12,1836106,1789593
13,1836106,1789593
14,1836106,1789593
15,1715908,1688440
16,1715908,1688440
17,1715908,1688440
18,1715908,1688440
19,1715908,1688440
20,1518428,1508475
21,1518428,1508475
22,1518428,1508475
23,1518428,1508475
24,1518428,1508475
25,1374011,1375511
26,1374011,1375511
27,1374011,1375511
28,1374011,1375511
29,1374011,1375511
30,1308969,1317758
31,1308969,1317758
32,1308969,1317758
33,1308969,1317758
34,1308969,1317758
35,1156764,1171017
36,1156764,1171017
37,1156764,1171017
38,1156764,1171017
39,1156764,1171017
40,966306,986520
41,966306,986520
42,966306,986520
43,966306,986520
44,966306,986520
45,770868,794674
46,770868,794674
47,770868,794674
48,770868,794674
49,770868,794674
50,605378,610242
51,605378,610242
52,605378,610242
53,605378,610242
54,605378,610242
55,491965,515463
56,491965,515463
57,491965,515463
58,491965,515463
59,491965,515463
60,380132,443382
61,380132,443382
62,380132,443382
63,380132,443382
64,380132,443382
65,291589,363014
66,291589,363014
67,291589,363014
68,291589,363014
69,291589,363014
70,194776,250721
71,194776,250721
72,194776,250721
73,194776,250721
74,194776,250721
75,108239,146598
76,108239,146598
77,108239,146598
78,108239,146598
79,108239,146598
80,54120,77887
81,54120,77887
82,54120,77887
83,54120,77887
84,54120,77887
85,21055,31279
86,21055,31279
87,21055,31279
88,21055,31279
89,21055,31279
90,5531,8503
91,5531,8503
92,5531,8503
93,5531,8503
94,5531,8503
95,917,1508
96,917,1508
97,917,1508
98,917,1508
99,917,1508
100,442,785
