age,male,female
0,10216565,8990787
1,10216565,8990787
2,10216565,8990787
3,10216565,8990787
4,10216565,8990787
5,13219802,11991329
6,13219802,11991329
7,13219802,11991329
8,13219802,11991329
9,13219802,11991329
10,11357203,10574840
11,11357203,10574840
12,11357203,10574840
13,11357203,10574840
14,11357203,10574840
15,9987353,9418653
16,9987353,9418653
17,9987353,9418653
18,9987353,9418653
19,9987353,9418653
20,11895737,11306889
21,11895737,11306889
22,11895737,11306889
23,11895737,11306889
24,11895737,11306889
25,13120722,12565108
26,13120722,12565108
27,13120722,12565108
28,13120722,12565108
29,13120722,12565108
30,11868672,11430645
31,11868672,11430645
32,11868672,11430645
33,11868672,11430645
34,11868672,11430645
35,8046791,7797460
36,8046791,7797460
37,8046791,7797460
38,8046791,7797460
39,8046791,7797460
40,8978672,8816325
41,8978672,8816325
42,8978672,8816325
43,8978672,8816325
44,8978672,8816325
45,6785293,6552203
46,6785293,6552203
47,6785293,6552203
48,6785293,6552203
49,6785293,6552203
50,4954397,4658966
51,4954397,4658966
52,4954397,4658966
53,4954397,4658966
54,4954397,4658966
55,4443623,4129739
56,4443623,4129739
57,4443623,4129739
58,4443623,4129739
59,4443623,4129739
60,3905893,3849915
61,3905893,3849915
62,3905893,3849915
63,3905893,3849915
64,3905893,3849915
65,2924264,3068943
66,2924264,3068943
67,2924264,3068943
68,2924264,3068943
69,2924264,3068943
70,2023404,2366912
71,2023404,2366912
72,2023404,2366912
73,2023404,2366912
74,2023404,2366912
75,1171437,1610681
76,1171437,1610681
77,1171437,1610681
78,1171437,1610681
79,1171437,1610681
80,549498,925027
81,549498,925027
82,549498,925027
83,549498,925027
84,549498,925027
85,159628,379859
86,159628,379859
87,159628,379859
88,159628,379859
89,159628,379859
90,25719,106057
91,25719,106057
92,25719,106057
93,25719,106057
94,25719,106057
95,1326,12152
96,1326,12152
97,1326,12152
98,1326,12152
99,1326,12152
100,11,2351
