age,male,female
0,374936,357724
1,374936,357724
2,374936,357724
3,374936,357724
4,374936,357724
5,392459,375054
6,392459,375054
7,392459,375054
8,392459,375054
9,392459,375054
10,402722,383950
11,402722,383950
12,402722,383950
13,402722,383950
14,402722,383950
15,391464,374978
16,391464,374978
17,391464,374978
18,391464,374978
19,391464,374978
20,431243,429126
21,431243,429126
22,431243,429126
23,431243,429126
24,431243,429126
25,424089,431030
26,424089,431030
27,424089,431030
28,424089,431030
29,424089,431030
30,434781,441432
31,434781,441432
32,434781,441432
33,434781,441432
34,434781,441432
35,430134,436806
36,430134,436806
37,430134,436806
38,430134,436806
39,430134,436806
40,431786,433650
41,431786,433650
42,431786,433650
43,431786,433650
44,431786,433650
45,395567,390862
46,395567,390862
47,395567,390862
48,395567,390862
49,395567,390862
50,280611,279168
51,280611,279168
52,280611,279168
53,280611,279168
54,280611,279168
55,277568,290281
56,277568,290281
57,277568,290281
58,277568,290281
59,277568,290281
60,276472,308123
61,276472,308123
62,276472,308123
63,276472,308123
64,276472,308123
65,244099,295943
66,244099,295943
67,244099,295943
68,244099,295943
69,244099,295943
70,202968,272789
71,202968,272789
72,202968,272789
73,202968,272789
74,202968,272789
75,91135,141549
76,91135,141549
77,91135,141549
78,91135,141549
79,91135,141549
80,91876,172657
81,91876,172657
82,91876,172657
83,91876,172657
84,91876,172657
85,42539,103362
86,42539,103362
87,42539,103362
88,42539,103362
89,42539,103362
90,12304,41394
91,12304,41394
92,12304,41394
93,12304,41394
94,12304,41394
95,1705,8629
96,1705,8629
97,1705,8629
98,1705,8629
99,1705,8629
100,595,4442
