age,male,female
0,1947083,1905594
1,1947083,1905594
2,1947083,1905594
3,1947083,1905594
4,1947083,1905594
5,1764167,1721061
6,1764167,1721061
7,1764167,1721061
8,1764167,1721061
9,1764167,1721061
10,1415771,1388355
11,1415771,1388355
12,1415771,1388355
13,1415771,1388355
14,1415771,1388355
15,1127534,1144475
16,1127534,1144475
17,1127534,1144475
18,1127534,1144475
19,1127534,1144475
20,1077614,1093172
21,1077614,1093172
22,1077614,1093172
23,1077614,1093172
24,1077614,1093172
25,1156315,1185283
26,1156315,1185283
27,1156315,1185283
28,1156315,1185283
29,1156315,1185283
30,1219445,1277308
31,1219445,1277308
32,1219445,1277308
33,1219445,1277308
34,1219445,1277308
35,1183184,1225881
36,1183184,1225881
37,1183184,1225881
38,1183184,1225881
39,1183184,1225881
40,1106343,1138654
41,1106343,1138654
42,1106343,1138654
43,1106343,1138654
44,1106343,1138654
45,1016118,1040119
46,1016118,1040119
47,1016118,1040119
48,1016118,1040119
49,1016118,1040119
50,885886,911377
51,885886,911377
52,885886,911377
53,885886,911377
54,885886,911377
55,776029,817580
56,776029,817580
57,776029,817580
58,776029,817580
59,776029,817580
60,664207,712269
61,664207,712269
62,664207,712269
63,664207,712269
64,664207,712269
65,524278,580065
66,524278,580065
67,524278,580065
68,524278,580065
69,524278,580065
70,381675,440345
71,381675,440345
72,381675,440345
73,381675,440345
74,381675,440345
75,224248,278990
76,224248,278990
77,224248,278990
78,224248,278990
79,224248,278990
80,118761,158272
81,118761,158272
82,118761,158272
83,118761,158272
84,118761,158272
85,47187,68938
86,47187,68938
87,47187,68938
88,47187,68938
89,47187,68938
90,12733,21405
91,12733,21405
92,12733,21405
93,12733,21405
94,12733,21405
95,2180,4171
96,2180,4171
97,2180,4171
98,2180,4171
99,2180,4171
100,1437,3153
