age,male,female
0,355106,337772
1,355106,337772
2,355106,337772
3,355106,337772
4,355106,337772
5,375879,357888
6,375879,357888
7,375879,357888
8,375879,357888
9,375879,357888
10,399540,381215
11,399540,381215
12,399540,381215
13,399540,381215
14,399540,381215
15,387461,376601
16,387461,376601
17,387461,376601
18,387461,376601
19,387461,376601
20,393725,390673
21,393725,390673
22,393725,390673
23,393725,390673
24,393725,390673
25,382919,383515
26,382919,383515
27,382919,383515
28,382919,383515
29,382919,383515
30,432559,441714
31,432559,441714
32,432559,441714
33,432559,441714
34,432559,441714
35,443586,471978
36,443586,471978
37,443586,471978
38,443586,471978
39,443586,471978
40,424361,448568
41,424361,448568
42,424361,448568
43,424361,448568
44,424361,448568
45,392807,411093
46,392807,411093
47,392807,411093
48,392807,411093
49,392807,411093
50,364556,381534
51,364556,381534
52,364556,381534
53,364556,381534
54,364556,381534
55,382207,390154
56,382207,390154
57,382207,390154
58,382207,390154
59,382207,390154
60,293798,312066
61,293798,312066
62,293798,312066
63,293798,312066
64,293798,312066
65,261433,277930
66,261433,277930
67,261433,277930
68,261433,277930
69,261433,277930
70,215699,250991
71,215699,250991
72,215699,250991
73,215699,250991
74,215699,250991
75,169408,223278
76,169408,223278
77,169408,223278
78,169408,223278
79,169408,223278
80,112409,185834
81,112409,185834
82,112409,185834
83,112409,185834
84,112409,185834
85,44939,98552
86,44939,98552
87,44939,98552
88,44939,98552
89,44939,98552
90,15892,48181
91,15892,48181
92,15892,48181
93,15892,48181
94,15892,48181
95,2585,11916
96,2585,11916
97,2585,11916
98,2585,11916
99,2585,11916
100,1000,7350
