age,male,female
0,384812,365124
1,384812,365124
2,384812,365124
3,384812,365124
4,384812,365124
5,428202,406997
6,428202,406997
7,428202,406997
8,428202,406997
9,428202,406997
10,424708,403876
11,424708,403876
12,424708,403876
13,424708,403876
14,424708,403876
15,389169,368715
16,389169,368715
17,389169,368715
18,389169,368715
19,389169,368715
20,428072,402877
21,428072,402877
22,428072,402877
23,428072,402877
24,428072,402877
25,460629,442627
26,460629,442627
27,460629,442627
28,460629,442627
29,460629,442627
30,447675,448217
31,447675,448217
32,447675,448217
33,447675,448217
34,447675,448217
35,449933,458056
36,449933,458056
37,449933,458056
38,449933,458056
39,449933,458056
40,420488,427396
41,420488,427396
42,420488,427396
43,420488,427396
44,420488,427396
45,433795,436451
46,433795,436451
47,433795,436451
48,433795,436451
49,433795,436451
50,440261,475999
51,440261,475999
52,440261,475999
53,440261,475999
54,440261,475999
55,418701,452818
56,418701,452818
57,418701,452818
58,418701,452818
59,418701,452818
60,379310,405515
61,379310,405515
62,379310,405515
63,379310,405515
64,379310,405515
65,326853,361422
66,326853,361422
67,326853,361422
68,326853,361422
69,326853,361422
70,323032,349983
71,323032,349983
72,323032,349983
73,323032,349983
74,323032,349983
75,224222,267105
76,224222,267105
77,224222,267105
78,224222,267105
79,224222,267105
80,152984,191482
81,152984,191482
82,152984,191482
83,152984,191482
84,152984,191482
85,86128,125815
86,86128,125815
87,86128,125815
88,86128,125815
89,86128,125815
90,33231,62537
91,33231,62537
92,33231,62537
93,33231,62537
94,33231,62537
95,6814,18444
96,6814,18444
97,6814,18444
98,6814,18444
99,6814,18444
100,3071,13348
