age,male,female
0,71954029,67569200
1,71954029,67569200
2,71954029,67569200
3,71954029,67569200
4,71954029,67569200
5,69183410,64783329
6,69183410,64783329
7,69183410,64783329
8,69183410,64783329
9,69183410,64783329
10,65417448,61213367
11,65417448,61213367
12,65417448,61213367
13,65417448,61213367
14,65417448,61213367
15,63311483,59194186
16,63311483,59194186
17,63311483,59194186
18,63311483,59194186
19,63311483,59194186
20,62337781,58582716
21,62337781,58582716
22,62337781,58582716
23,62337781,58582716
24,62337781,58582716
25,63360148,60037122
26,63360148,60037122
27,63360148,60037122
28,63360148,60037122
29,63360148,60037122
30,57997581,55631413
31,57997581,55631413
32,57997581,55631413
33,57997581,55631413
34,57997581,55631413
35,51653788,50145555
36,51653788,50145555
37,51653788,50145555
38,51653788,50145555
39,51653788,50145555
40,48927072,48061525
41,48927072,48061525
42,48927072,48061525
43,48927072,48061525
44,48927072,48061525
45,46303549,45995832
46,46303549,45995832
47,46303549,45995832
48,46303549,45995832
49,46303549,45995832
50,41550746,41946311
51,41550746,41946311
52,41550746,41946311
53,41550746,41946311
54,41550746,41946311
55,33613029,34855202
56,33613029,34855202
57,33613029,34855202
58,33613029,34855202
59,33613029,34855202
60,29022088,31184506
61,29022088,31184506
62,29022088,31184506
63,29022088,31184506
64,29022088,31184506
65,21722202,24233334
66,21722202,24233334
67,21722202,24233334
68,21722202,24233334
69,21722202,24233334
70,14507579,17014317
71,14507579,17014317
72,14507579,17014317
73,14507579,17014317
74,14507579,17014317
75,10317661,13459341
76,10317661,13459341
77,10317661,13459341
78,10317661,13459341
79,10317661,13459341
80,6134796,9053797
81,6134796,9053797
82,6134796,9053797
83,6134796,9053797
84,6134796,9053797
85,2842358,5060230
86,2842358,5060230
87,2842358,5060230
88,2842358,5060230
89,2842358,5060230
90,853439,2004856
91,853439,2004856
92,853439,2004856
93,853439,2004856
94,853439,2004856
95,142157,456163
96,142157,456163
97,142157,456163
98,142157,456163
99,142157,456163
100,70454,310812
