age,male,female
0,56076490,53640228
1,56076490,53640228
2,56076490,53640228
3,56076490,53640228
4,56076490,53640228
5,50828026,48635166
6,50828026,48635166
7,50828026,48635166
8,50828026,48635166
9,50828026,48635166
10,44985144,43038867
11,44985144,43038867
12,44985144,43038867
13,44985144,43038867
14,44985144,43038867
15,40600494,39056952
16,40600494,39056952
17,40600494,39056952
18,40600494,39056952
19,40600494,39056952
20,35644864,34573688
21,35644864,34573688
22,35644864,34573688
23,35644864,34573688
24,35644864,34573688
25,28603001,27713901
26,28603001,27713901
27,28603001,27713901
28,28603001,27713901
29,28603001,27713901
30,24449927,23719685
31,24449927,23719685
32,24449927,23719685
33,24449927,23719685
34,24449927,23719685
35,23152079,22554137
36,23152079,22554137
37,23152079,22554137
38,23152079,22554137
39,23152079,22554137
40,20831907,20462504
41,20831907,20462504
42,20831907,20462504
43,20831907,20462504
44,20831907,20462504
45,18555587,18787145
46,18555587,18787145
47,18555587,18787145
48,18555587,18787145
49,18555587,18787145
50,15230238,16254538
51,15230238,16254538
52,15230238,16254538
53,15230238,16254538
54,15230238,16254538
55,12039774,13172839
56,12039774,13172839
57,12039774,13172839
58,12039774,13172839
59,12039774,13172839
60,10617200,12309647
61,10617200,12309647
62,10617200,12309647
63,10617200,12309647
64,10617200,12309647
65,8023088,9930501
66,8023088,9930501
67,8023088,9930501
68,8023088,9930501
69,8023088,9930501
70,5357039,7271584
71,5357039,7271584
72,5357039,7271584
73,5357039,7271584
74,5357039,7271584
75,2964228,4545064
76,2964228,4545064
77,2964228,4545064
78,2964228,4545064
79,2964228,4545064
80,1363435,2377066
81,1363435,2377066
82,1363435,2377066
83,1363435,2377066
84,1363435,2377066
85,493885,981465
86,493885,981465
87,493885,981465
88,493885,981465
89,493885,981465
90,115074,260270
91,115074,260270
92,115074,260270
93,115074,260270
94,115074,260270
95,17205,43687
96,17205,43687
97,17205,43687
98,17205,43687
99,17205,43687
100,7241,20756
