age,male,female
0,649904,656736
1,649904,656736
2,649904,656736
3,649904,656736
4,649904,656736
5,528577,515662
6,528577,515662
7,528577,515662
8,528577,515662
9,528577,515662
10,465164,450255
11,465164,450255
12,465164,450255
13,465164,450255
14,465164,450255
15,406435,394505
16,406435,394505
17,406435,394505
18,406435,394505
19,406435,394505
20,349949,342883
21,349949,342883
22,349949,342883
23,349949,342883
24,349949,342883
25,301616,298265
26,301616,298265
27,301616,298265
28,301616,298265
29,301616,298265
30,259257,258140
31,259257,258140
32,259257,258140
33,259257,258140
34,259257,258140
35,217282,219013
36,217282,219013
37,217282,219013
38,217282,219013
39,217282,219013
40,179301,184133
41,179301,184133
42,179301,184133
43,179301,184133
44,179301,184133
45,149049,157147
46,149049,157147
47,149049,157147
48,149049,157147
49,149049,157147
50,125696,136641
51,125696,136641
52,125696,136641
53,125696,136641
54,125696,136641
55,106211,118776
56,106211,118776
57,106211,118776
58,106211,118776
59,106211,118776
60,78817,93050
61,78817,93050
62,78817,93050
63,78817,93050
64,78817,93050
65,52697,66336
66,52697,66336
67,52697,66336
68,52697,66336
69,52697,66336
70,30759,41875
71,30759,41875
72,30759,41875
73,30759,41875
74,30759,41875
75,14577,22151
76,14577,22151
77,14577,22151
78,14577,22151
79,14577,22151
80,4999,8712
81,4999,8712
82,4999,8712
83,4999,8712
84,4999,8712
85,963,2191
86,963,2191
87,963,2191
88,963,2191
89,963,2191
90,65,157
91,65,157
92,65,157
93,65,157
94,65,157
95,4,12
96,4,12
97,4,12
98,4,12
99,4,12
100,0,2
