age,male,female
0,9222772,8724530
1,9222772,8724530
2,9222772,8724530
3,9222772,8724530
4,9222772,8724530
5,7903951,7387365
6,7903951,7387365
7,7903951,7387365
8,7903951,7387365
9,7903951,7387365
10,7087165,6578562
11,7087165,6578562
12,7087165,6578562
13,7087165,6578562
14,7087165,6578562
15,6244751,5767571
16,6244751,5767571
17,6244751,5767571
18,6244751,5767571
19,6244751,5767571
20,5026523,4648574
21,5026523,4648574
22,5026523,4648574
23,5026523,4648574
24,5026523,4648574
25,3909257,3717421
26,3909257,3717421
27,3909257,3717421
28,3909257,3717421
29,3909257,3717421
30,3522706,3368160
31,3522706,3368160
32,3522706,3368160
33,3522706,3368160
34,3522706,3368160
35,3226394,3070538
36,3226394,3070538
37,3226394,3070538
38,3226394,3070538
39,3226394,3070538
40,2889233,2656065
41,2889233,2656065
42,2889233,2656065
43,2889233,2656065
44,2889233,2656065
45,2513261,2270732
46,2513261,2270732
47,2513261,2270732
48,2513261,2270732
49,2513261,2270732
50,2123805,1945406
51,2123805,1945406
52,2123805,1945406
53,2123805,1945406
54,2123805,1945406
55,1724408,1625248
56,1724408,1625248
57,1724408,1625248
58,1724408,1625248
59,1724408,1625248
60,1360406,1319568
61,1360406,1319568
62,1360406,1319568
63,1360406,1319568
64,1360406,1319568
65,966375,933531
66,966375,933531
67,966375,933531
68,966375,933531
69,966375,933531
70,638804,632939
71,638804,632939
72,638804,632939
73,638804,632939
74,638804,632939
75,335303,338727
76,335303,338727
77,335303,338727
78,335303,338727
79,335303,338727
80,146462,155428
81,146462,155428
82,146462,155428
83,146462,155428
84,146462,155428
85,45077,49640
86,45077,49640
87,45077,49640
88,45077,49640
89,45077,49640
90,8181,9060
91,8181,9060
92,8181,9060
93,8181,9060
94,8181,9060
95,1076,1310
96,1076,1310
97,1076,1310
98,1076,1310
99,1076,1310
100,290,430
